global_sample_index,num_false_negatives,num_false_positives,error_count,true_labels,predicted_labels,false_negative_labels,false_positive_labels,false_negative_probs,false_positive_probs
57755,5,3,8,Alcohol | Alkene | Arene | Azo compound | Carboxylic acid | Ketone,Alcohol | Haloalkane | Phenol | Sulfide,Alkene | Arene | Azo compound | Carboxylic acid | Ketone,Haloalkane | Phenol | Sulfide,Alkene=0.3319 | Arene=0.1395 | Azo compound=0.0000 | Carboxylic acid=0.1617 | Ketone=0.1956,Haloalkane=0.4792 | Phenol=0.8917 | Sulfide=0.5095
112539,4,4,8,Alkane | Alkene | Ester | Ether | Ketone,Alkane | Amide | Amine | Arene | Haloalkane,Alkene | Ester | Ether | Ketone,Amide | Amine | Arene | Haloalkane,Alkene=0.0067 | Ester=0.2283 | Ether=0.1941 | Ketone=0.0435,Amide=0.5051 | Amine=0.6707 | Arene=0.7907 | Haloalkane=0.4924
140417,6,2,8,Alcohol | Alkane | Alkene | Amide | Amine | Arene | Enamine | Haloalkane | Imide | Phenol,Alkane | Amide | Amine | Arene | Ether | Sulfide,Alcohol | Alkene | Enamine | Haloalkane | Imide | Phenol,Ether | Sulfide,Alcohol=0.2545 | Alkene=0.0055 | Enamine=0.0009 | Haloalkane=0.3189 | Imide=0.0006 | Phenol=0.2017,Ether=0.5689 | Sulfide=0.8360
189586,5,3,8,Alcohol | Alkane | Amine | Arene | Haloalkane | Ketone | Sulfide | Sulfonamide,Alkane | Arene | Ester | Ether | Sulfide | Sulfone,Alcohol | Amine | Haloalkane | Ketone | Sulfonamide,Ester | Ether | Sulfone,Alcohol=0.0917 | Amine=0.1059 | Haloalkane=0.2225 | Ketone=0.0260 | Sulfonamide=0.0021,Ester=0.6153 | Ether=0.8950 | Sulfone=0.9539
200541,5,3,8,Alcohol | Alkane | Alkene | Amine | Arene | Ester | Ether | Ketone,Alcohol | Alkane | Amide | Arene | Haloalkane | Sulfide,Alkene | Amine | Ester | Ether | Ketone,Amide | Haloalkane | Sulfide,Alkene=0.1432 | Amine=0.3900 | Ester=0.0093 | Ether=0.3335 | Ketone=0.1334,Amide=0.9875 | Haloalkane=0.7256 | Sulfide=0.7439
235875,5,3,8,Aldehyde | Alkane | Alkene | Amine | Haloalkane | Hydrazone | Nitrile,Alkane | Amide | Ether | Haloalkane | Sulfide,Aldehyde | Alkene | Amine | Hydrazone | Nitrile,Amide | Ether | Sulfide,Aldehyde=0.1043 | Alkene=0.0045 | Amine=0.0266 | Hydrazone=0.2337 | Nitrile=0.0003,Amide=0.9121 | Ether=0.4710 | Sulfide=0.8830
243092,6,2,8,Alcohol | Alkane | Alkene | Amine | Arene | Enamine | Ether | Haloalkane | Ketone | Sulfide,Alcohol | Aldehyde | Alkane | Amide | Arene | Haloalkane,Alkene | Amine | Enamine | Ether | Ketone | Sulfide,Aldehyde | Amide,Alkene=0.2218 | Amine=0.2752 | Enamine=0.0024 | Ether=0.0867 | Ketone=0.0026 | Sulfide=0.1075,Aldehyde=0.9998 | Amide=0.6936
254717,5,3,8,Alcohol | Aldehyde | Alkane | Amide | Amine | Carboxylic acid | Ether | Phenol,Alcohol | Alkane | Amine | Arene | Haloalkane | Sulfide,Aldehyde | Amide | Carboxylic acid | Ether | Phenol,Arene | Haloalkane | Sulfide,Aldehyde=0.0000 | Amide=0.1940 | Carboxylic acid=0.0159 | Ether=0.3587 | Phenol=0.6721,Arene=0.4055 | Haloalkane=0.7283 | Sulfide=0.8650
332749,7,1,8,Alkane | Alkene | Amine | Arene | Enamine | Haloalkane | Hydrazone | Ketone | Sulfide,Alkane | Ether | Haloalkane,Alkene | Amine | Arene | Enamine | Hydrazone | Ketone | Sulfide,Ether,Alkene=0.4252 | Amine=0.0954 | Arene=0.2400 | Enamine=0.2836 | Hydrazone=0.0001 | Ketone=0.2683 | Sulfide=0.1059,Ether=0.4269
400422,4,4,8,Alcohol | Alkene | Amine | Enamine | Enol | Hydrazine,Alcohol | Alkane | Amine | Haloalkane | Phenol | Sulfide,Alkene | Enamine | Enol | Hydrazine,Alkane | Haloalkane | Phenol | Sulfide,Alkene=0.0466 | Enamine=0.0060 | Enol=0.0000 | Hydrazine=0.0019,Alkane=0.9825 | Haloalkane=0.4510 | Phenol=0.7673 | Sulfide=0.5239
417782,5,3,8,Alkane | Alkene | Amine | Arene | Enamine | Haloalkane | Hydrazine,Alkane | Arene | Ester | Ether | Ketone,Alkene | Amine | Enamine | Haloalkane | Hydrazine,Ester | Ether | Ketone,Alkene=0.0486 | Amine=0.0196 | Enamine=0.0003 | Haloalkane=0.3669 | Hydrazine=0.0000,Ester=0.7032 | Ether=0.6803 | Ketone=0.7370
468613,7,1,8,Alkane | Alkene | Amine | Arene | Enamine | Ester | Ether | Haloalkane | Ketone,Alkane | Amine | Sulfide,Alkene | Arene | Enamine | Ester | Ether | Haloalkane | Ketone,Sulfide,Alkene=0.0415 | Arene=0.1548 | Enamine=0.0044 | Ester=0.2991 | Ether=0.1240 | Haloalkane=0.3661 | Ketone=0.0018,Sulfide=0.7421
489759,6,2,8,Alcohol | Alkane | Alkene | Amide | Amine | Arene | Enol | Ester | Ether | Haloalkane | Ketone,Alcohol | Alkane | Amine | Carbamate | Enol | Ether | Phenol,Alkene | Amide | Arene | Ester | Haloalkane | Ketone,Carbamate | Phenol,Alkene=0.3066 | Amide=0.0879 | Arene=0.2215 | Ester=0.2959 | Haloalkane=0.3519 | Ketone=0.4186,Carbamate=0.9644 | Phenol=0.9820
553718,6,2,8,Aldehyde | Alkane | Alkene | Amide | Arene | Enamine | Ester | Ether | Haloalkane | Sulfoxide,Alkane | Amide | Amine | Arene | Carbamate | Ether,Aldehyde | Alkene | Enamine | Ester | Haloalkane | Sulfoxide,Amine | Carbamate,Aldehyde=0.0057 | Alkene=0.1893 | Enamine=0.0037 | Ester=0.5084 | Haloalkane=0.0945 | Sulfoxide=0.0001,Amine=0.9573 | Carbamate=0.9832
607355,2,6,8,Alcohol | Alkane | Alkene | Amide | Amine | Arene | Enamine | Enol | Sulfonamide | Sulfone,Alcohol | Alkane | Alkene | Amine | Arene | Carboxylic acid | Enamine | Enol | Ester | Ether | Ketone | Phenol | Sulfide | Sulfonamide,Amide | Sulfone,Carboxylic acid | Ester | Ether | Ketone | Phenol | Sulfide,Amide=0.3749 | Sulfone=0.2896,Carboxylic acid=0.9998 | Ester=0.7388 | Ether=0.7223 | Ketone=0.6962 | Phenol=0.9667 | Sulfide=0.8419
614153,5,3,8,Alcohol | Alkane | Alkene | Arene | Enol | Ester | Ether | Ketone,Alcohol | Aldehyde | Alkane | Arene | Phenol | Sulfide,Alkene | Enol | Ester | Ether | Ketone,Aldehyde | Phenol | Sulfide,Alkene=0.0327 | Enol=0.0004 | Ester=0.1111 | Ether=0.1852 | Ketone=0.0398,Aldehyde=0.9955 | Phenol=0.9991 | Sulfide=0.6539
658665,5,3,8,Alkane | Alkene | Amine | Enamine | Haloalkane | Ketone | Sulfide,Alkane | Amide | Amine | Ester | Ether,Alkene | Enamine | Haloalkane | Ketone | Sulfide,Amide | Ester | Ether,Alkene=0.4377 | Enamine=0.0785 | Haloalkane=0.2409 | Ketone=0.0339 | Sulfide=0.0807,Amide=0.9369 | Ester=0.8766 | Ether=0.7506
745748,6,2,8,Alcohol | Alkane | Alkene | Amide | Enamine | Ether | Ketone | Phenol,Alkane | Amine | Phenol | Sulfide,Alcohol | Alkene | Amide | Enamine | Ether | Ketone,Amine | Sulfide,Alcohol=0.1673 | Alkene=0.1556 | Amide=0.2817 | Enamine=0.0040 | Ether=0.2539 | Ketone=0.0358,Amine=0.5730 | Sulfide=0.8590
769794,4,4,8,Alcohol | Alkane | Amide | Amine | Haloalkane | Phenol | Sulfide | Sulfonamide,Alcohol | Alkane | Alkene | Amine | Arene | Enamine | Imide | Sulfide,Amide | Haloalkane | Phenol | Sulfonamide,Alkene | Arene | Enamine | Imide,Amide=0.3110 | Haloalkane=0.0704 | Phenol=0.2836 | Sulfonamide=0.2487,Alkene=0.9287 | Arene=0.3464 | Enamine=0.9998 | Imide=0.9863
5505,2,5,7,Amine | Haloalkane,Amide | Arene | Imide | Phenol | Sulfide,Amine | Haloalkane,Amide | Arene | Imide | Phenol | Sulfide,Amine=0.2363 | Haloalkane=0.2107,Amide=0.9974 | Arene=0.6752 | Imide=0.9980 | Phenol=0.8486 | Sulfide=0.6594
16844,5,2,7,Alkane | Alkene | Amide | Arene | Enamine | Ether | Haloalkane | Imine,Alkane | Arene | Haloalkane | Ketone | Sulfide,Alkene | Amide | Enamine | Ether | Imine,Ketone | Sulfide,Alkene=0.2941 | Amide=0.0509 | Enamine=0.0000 | Ether=0.3486 | Imine=0.0000,Ketone=0.9513 | Sulfide=0.5833
28552,4,3,7,Alcohol | Alkane | Amine | Arene | Carboxylic acid,Amide | Carboxylic acid | Nitrile | Sulfide,Alcohol | Alkane | Amine | Arene,Amide | Nitrile | Sulfide,Alcohol=0.0137 | Alkane=0.1293 | Amine=0.1931 | Arene=0.0122,Amide=0.7991 | Nitrile=1.0000 | Sulfide=0.5843
35242,4,3,7,Alkane | Alkene | Amine | Enamine | Nitrile | Sulfide,Alkane | Arene | Ether | Haloalkane | Sulfide,Alkene | Amine | Enamine | Nitrile,Arene | Ether | Haloalkane,Alkene=0.0650 | Amine=0.1591 | Enamine=0.0000 | Nitrile=0.0005,Arene=0.3626 | Ether=0.7251 | Haloalkane=0.6558
51995,2,5,7,Alkane | Amine | Arene | Sulfonamide,Alkane | Alkene | Amide | Arene | Ether | Sulfonate | Sulfone,Amine | Sulfonamide,Alkene | Amide | Ether | Sulfonate | Sulfone,Amine=0.4719 | Sulfonamide=0.7035,Alkene=0.8464 | Amide=0.8883 | Ether=0.5061 | Sulfonate=0.8710 | Sulfone=0.9751
67345,5,2,7,Alcohol | Alkane | Alkene | Amine | Enamine | Haloalkane | Hydrazine | Imine | Ketone,Alcohol | Alkane | Amine | Ether | Haloalkane | Phenol,Alkene | Enamine | Hydrazine | Imine | Ketone,Ether | Phenol,Alkene=0.1505 | Enamine=0.0000 | Hydrazine=0.0029 | Imine=0.0000 | Ketone=0.0939,Ether=0.5708 | Phenol=0.9081
80508,3,4,7,Alkane | Amide | Amine | Arene | Nitrile,Alkane | Arene | Ether | Haloalkane | Hydrazone | Ketone,Amide | Amine | Nitrile,Ether | Haloalkane | Hydrazone | Ketone,Amide=0.1704 | Amine=0.1271 | Nitrile=0.0005,Ether=0.4202 | Haloalkane=0.4953 | Hydrazone=0.9298 | Ketone=0.9073
89109,6,1,7,Alkane | Alkene | Amine | Arene | Enamine | Ester | Ether | Haloalkane | Ketone,Aldehyde | Alkane | Alkene | Amine,Arene | Enamine | Ester | Ether | Haloalkane | Ketone,Aldehyde,Arene=0.2250 | Enamine=0.9352 | Ester=0.5567 | Ether=0.3179 | Haloalkane=0.1960 | Ketone=0.4935,Aldehyde=0.9646
103530,3,4,7,Alkane | Alkene | Arene | Ketone | Sulfone,Alkane | Amide | Amine | Arene | Ether | Sulfonamide,Alkene | Ketone | Sulfone,Amide | Amine | Ether | Sulfonamide,Alkene=0.1764 | Ketone=0.4573 | Sulfone=0.4974,Amide=0.7692 | Amine=0.5460 | Ether=0.7031 | Sulfonamide=0.9775
104169,4,3,7,Alcohol | Alkane | Amide | Amine | Carboxylic acid | Haloalkane | Sulfide | Sulfonamide,Alcohol | Alkane | Amide | Amine | Carbamate | Ether | Hydrazine,Carboxylic acid | Haloalkane | Sulfide | Sulfonamide,Carbamate | Ether | Hydrazine,Carboxylic acid=0.0009 | Haloalkane=0.0601 | Sulfide=0.1531 | Sulfonamide=0.7494,Carbamate=0.8328 | Ether=0.4183 | Hydrazine=0.9775
106612,3,4,7,Alkane | Amine | Arene | Haloalkane | Sulfonate | Thioamide,Alkane | Amide | Amine | Arene | Ether | Sulfide | Sulfonamide,Haloalkane | Sulfonate | Thioamide,Amide | Ether | Sulfide | Sulfonamide,Haloalkane=0.2354 | Sulfonate=0.0007 | Thioamide=0.0000,Amide=0.7634 | Ether=0.9069 | Sulfide=0.5333 | Sulfonamide=0.9960
117616,5,2,7,Alkane | Alkene | Amine | Carbamate | Ether | Haloalkane | Hydrazine | Hydrazone,Alkane | Amide | Amine | Arene | Hydrazine,Alkene | Carbamate | Ether | Haloalkane | Hydrazone,Amide | Arene,Alkene=0.2994 | Carbamate=0.3420 | Ether=0.2432 | Haloalkane=0.0475 | Hydrazone=0.0001,Amide=0.4803 | Arene=0.5338
123182,2,5,7,Aldehyde | Alkane | Arene,Alkane | Alkene | Amine | Enamine | Ether | Haloalkane,Aldehyde | Arene,Alkene | Amine | Enamine | Ether | Haloalkane,Aldehyde=0.0086 | Arene=0.1698,Alkene=0.7809 | Amine=0.8194 | Enamine=0.9746 | Ether=0.5562 | Haloalkane=0.4491
125373,5,2,7,Alkane | Alkene | Amide | Amine | Arene | Enamine | Ketone,Alkane | Arene | Ester | Ether,Alkene | Amide | Amine | Enamine | Ketone,Ester | Ether,Alkene=0.0211 | Amide=0.0871 | Amine=0.1542 | Enamine=0.0000 | Ketone=0.4005,Ester=0.9440 | Ether=0.9424
133997,4,3,7,Alkane | Alkene | Amine | Hydrazone | Sulfide | Thioamide,Alkane | Amide | Arene | Haloalkane | Sulfide,Alkene | Amine | Hydrazone | Thioamide,Amide | Arene | Haloalkane,Alkene=0.0118 | Amine=0.1661 | Hydrazone=0.0017 | Thioamide=0.0000,Amide=0.9664 | Arene=0.3637 | Haloalkane=0.6693
144061,2,5,7,Alkane | Alkene | Ester | Ether,Aldehyde | Alkane | Amide | Amine | Arene | Ether | Haloalkane,Alkene | Ester,Aldehyde | Amide | Amine | Arene | Haloalkane,Alkene=0.0908 | Ester=0.0870,Aldehyde=0.9917 | Amide=0.8967 | Amine=0.8462 | Arene=0.9950 | Haloalkane=0.7375
155192,2,5,7,Alkane | Alkene | Amide | Amine | Arene,Alkane | Amide | Arene | Ester | Ether | Haloalkane | Ketone | Sulfide,Alkene | Amine,Ester | Ether | Haloalkane | Ketone | Sulfide,Alkene=0.2632 | Amine=0.0839,Ester=0.8545 | Ether=0.9284 | Haloalkane=0.6140 | Ketone=0.6569 | Sulfide=0.6349
166316,4,3,7,Alkane | Alkene | Amide | Amine | Enamine | Ether | Sulfoxide,Alkane | Amide | Amine | Haloalkane | Sulfide | Sulfonamide,Alkene | Enamine | Ether | Sulfoxide,Haloalkane | Sulfide | Sulfonamide,Alkene=0.4598 | Enamine=0.0662 | Ether=0.2656 | Sulfoxide=0.0001,Haloalkane=0.4066 | Sulfide=0.6540 | Sulfonamide=0.8419
170898,6,1,7,Alcohol | Alkane | Alkene | Amide | Arene | Enol | Ester | Ether | Haloalkane | Ketone,Alcohol | Alkane | Amide | Ether | Phenol,Alkene | Arene | Enol | Ester | Haloalkane | Ketone,Phenol,Alkene=0.0237 | Arene=0.0379 | Enol=0.0393 | Ester=0.5260 | Haloalkane=0.0737 | Ketone=0.1131,Phenol=0.9328
173313,3,4,7,Alcohol | Alkane | Amide | Amine | Arene | Phenol | Sulfide,Alcohol | Alkane | Arene | Ester | Ether | Haloalkane | Ketone | Phenol,Amide | Amine | Sulfide,Ester | Ether | Haloalkane | Ketone,Amide=0.1418 | Amine=0.2229 | Sulfide=0.0300,Ester=0.6344 | Ether=0.8331 | Haloalkane=0.6780 | Ketone=0.9638
176426,1,6,7,Alkane | Amide | Arene | Sulfide,Alkane | Alkene | Amide | Amine | Arene | Carbamate | Ether | Haloalkane | Imide,Sulfide,Alkene | Amine | Carbamate | Ether | Haloalkane | Imide,Sulfide=0.1455,Alkene=0.6661 | Amine=0.9668 | Carbamate=0.8892 | Ether=0.4571 | Haloalkane=0.5123 | Imide=0.9698
185594,3,4,7,Alkane | Alkene | Amide | Amine | Arene | Enamine | Ether | Imide,Alkane | Amide | Amine | Arene | Ester | Ether | Haloalkane | Imine | Thioamide,Alkene | Enamine | Imide,Ester | Haloalkane | Imine | Thioamide,Alkene=0.3982 | Enamine=0.0186 | Imide=0.7624,Ester=0.8575 | Haloalkane=0.6524 | Imine=0.9993 | Thioamide=0.9998
188812,4,3,7,Alkane | Alkene | Amide | Amine | Arene | Enamine | Sulfide,Alkane | Amide | Arene | Carbamate | Ester | Ether,Alkene | Amine | Enamine | Sulfide,Carbamate | Ester | Ether,Alkene=0.5227 | Amine=0.1132 | Enamine=0.0071 | Sulfide=0.2281,Carbamate=0.9617 | Ester=0.6338 | Ether=0.7864
192003,4,3,7,Alkane | Alkene | Arene | Ester | Ether | Sulfide,Alkane | Amide | Arene | Haloalkane | Nitrile,Alkene | Ester | Ether | Sulfide,Amide | Haloalkane | Nitrile,Alkene=0.5938 | Ester=0.0128 | Ether=0.2519 | Sulfide=0.2919,Amide=0.6570 | Haloalkane=0.6009 | Nitrile=0.9536
225995,3,4,7,Alkane | Alkene | Amide | Arene | Enamine | Nitrile | Sulfide,Alkane | Amine | Arene | Enamine | Ester | Ether | Imine | Nitrile,Alkene | Amide | Sulfide,Amine | Ester | Ether | Imine,Alkene=0.5636 | Amide=0.0884 | Sulfide=0.0659,Amine=0.8075 | Ester=0.9852 | Ether=0.8239 | Imine=0.9979
230596,4,3,7,Alkane | Alkene | Amine | Enamine | Ketone | Sulfide,Alkane | Alkene | Ester | Ether | Haloalkane,Amine | Enamine | Ketone | Sulfide,Ester | Ether | Haloalkane,Amine=0.1827 | Enamine=0.2443 | Ketone=0.2865 | Sulfide=0.0186,Ester=0.8238 | Ether=0.8923 | Haloalkane=0.4634
239968,6,1,7,Alkane | Alkene | Amine | Arene | Enamine | Haloalkane | Hydrazine | Hydrazone,Alkane | Arene | Ether,Alkene | Amine | Enamine | Haloalkane | Hydrazine | Hydrazone,Ether,Alkene=0.2480 | Amine=0.1536 | Enamine=0.0001 | Haloalkane=0.3040 | Hydrazine=0.0000 | Hydrazone=0.0000,Ether=0.6340
252640,2,5,7,Alkane | Alkene | Ether | Hydrazone,Alkane | Alkene | Amide | Amine | Arene | Haloalkane | Ketone,Ether | Hydrazone,Amide | Amine | Arene | Haloalkane | Ketone,Ether=0.1345 | Hydrazone=0.1244,Amide=0.8670 | Amine=0.6726 | Arene=0.8677 | Haloalkane=0.5148 | Ketone=0.9726
260959,2,5,7,Alkane | Amine | Arene | Haloalkane | Sulfide,Alkane | Alkene | Amine | Arene | Enamine | Ester | Ether | Hydrazone,Haloalkane | Sulfide,Alkene | Enamine | Ester | Ether | Hydrazone,Haloalkane=0.0822 | Sulfide=0.0754,Alkene=0.8947 | Enamine=0.9416 | Ester=0.6196 | Ether=0.8716 | Hydrazone=0.8803
285149,4,3,7,Alkane | Alkene | Amide | Amine | Haloalkane | Hydrazine,Alkane | Alkene | Ether | Ketone | Sulfide,Amide | Amine | Haloalkane | Hydrazine,Ether | Ketone | Sulfide,Amide=0.0791 | Amine=0.0071 | Haloalkane=0.2487 | Hydrazine=0.0000,Ether=0.3867 | Ketone=0.7116 | Sulfide=0.7228
303895,4,3,7,Alkane | Alkene | Amine | Enamine | Ketone,Alkane | Arene | Haloalkane | Sulfide,Alkene | Amine | Enamine | Ketone,Arene | Haloalkane | Sulfide,Alkene=0.2289 | Amine=0.3268 | Enamine=0.0001 | Ketone=0.0273,Arene=0.9361 | Haloalkane=0.6674 | Sulfide=0.4937
327985,4,3,7,Alcohol | Alkane | Arene | Ester | Ether | Phenol,Alcohol | Alkane | Amine | Haloalkane | Sulfonamide,Arene | Ester | Ether | Phenol,Amine | Haloalkane | Sulfonamide,Arene=0.2329 | Ester=0.1005 | Ether=0.2145 | Phenol=0.0011,Amine=0.8915 | Haloalkane=0.6768 | Sulfonamide=0.9324
362163,6,1,7,Alkane | Alkene | Amine | Arene | Enamine | Ester | Ether | Haloalkane | Ketone | Sulfide,Alkane | Amide | Amine | Arene | Haloalkane,Alkene | Enamine | Ester | Ether | Ketone | Sulfide,Amide,Alkene=0.0684 | Enamine=0.0000 | Ester=0.0013 | Ether=0.1023 | Ketone=0.0086 | Sulfide=0.0348,Amide=0.8223
363287,3,4,7,Alcohol | Alkane | Arene | Ether | Phenol | Sulfone,Aldehyde | Alkane | Amide | Arene | Ether | Haloalkane | Sulfide,Alcohol | Phenol | Sulfone,Aldehyde | Amide | Haloalkane | Sulfide,Alcohol=0.0892 | Phenol=0.6515 | Sulfone=0.0523,Aldehyde=0.9855 | Amide=0.5446 | Haloalkane=0.9080 | Sulfide=0.6203
414526,7,0,7,Alcohol | Alkane | Alkene | Amide | Amine | Arene | Carboxylic acid | Enamine | Hydrazine | Hydrazone | Sulfide,Alkane | Amide | Amine | Sulfide,Alcohol | Alkene | Arene | Carboxylic acid | Enamine | Hydrazine | Hydrazone,,Alcohol=0.1624 | Alkene=0.1178 | Arene=0.1330 | Carboxylic acid=0.0007 | Enamine=0.0004 | Hydrazine=0.0001 | Hydrazone=0.0010,
420464,4,3,7,Alcohol | Alkane | Alkene | Amide | Arene | Enol | Haloalkane | Ketone,Alcohol | Alkane | Arene | Ester | Ether | Haloalkane | Phenol,Alkene | Amide | Enol | Ketone,Ester | Ether | Phenol,Alkene=0.0609 | Amide=0.1283 | Enol=0.8552 | Ketone=0.2221,Ester=0.6334 | Ether=0.7058 | Phenol=0.9833
421230,4,3,7,Acid anhydride | Alkane | Alkene | Arene | Ester | Ether,Alkane | Amide | Arene | Haloalkane | Sulfide,Acid anhydride | Alkene | Ester | Ether,Amide | Haloalkane | Sulfide,Acid anhydride=0.0006 | Alkene=0.2809 | Ester=0.3831 | Ether=0.2496,Amide=0.8562 | Haloalkane=0.7904 | Sulfide=0.7224
441926,5,2,7,Alkane | Alkene | Amide | Arene | Enamine | Ester | Ether | Ketone,Alkane | Amide | Amine | Arene | Haloalkane,Alkene | Enamine | Ester | Ether | Ketone,Amine | Haloalkane,Alkene=0.0182 | Enamine=0.0292 | Ester=0.3149 | Ether=0.1554 | Ketone=0.5348,Amine=0.7672 | Haloalkane=0.4075
470541,4,3,7,Alkane | Alkene | Amine | Imine | Sulfide,Alkane | Ester | Ether | Haloalkane,Alkene | Amine | Imine | Sulfide,Ester | Ether | Haloalkane,Alkene=0.0001 | Amine=0.4189 | Imine=0.0000 | Sulfide=0.1006,Ester=0.8625 | Ether=0.6027 | Haloalkane=0.8428
495077,4,3,7,Alcohol | Aldehyde | Alkane | Alkene | Arene | Enol | Haloalkane | Ketone,Alcohol | Aldehyde | Alkane | Arene | Ester | Ether | Phenol,Alkene | Enol | Haloalkane | Ketone,Ester | Ether | Phenol,Alkene=0.0746 | Enol=0.0037 | Haloalkane=0.2287 | Ketone=0.0749,Ester=0.8690 | Ether=0.9437 | Phenol=0.9965
498722,2,5,7,Amide | Amine | Arene | Imide,Alcohol | Alkane | Amine | Arene | Haloalkane | Ketone | Phenol,Amide | Imide,Alcohol | Alkane | Haloalkane | Ketone | Phenol,Amide=0.0452 | Imide=0.0669,Alcohol=0.9959 | Alkane=0.4706 | Haloalkane=0.7151 | Ketone=0.8686 | Phenol=0.7922
499972,4,3,7,Alcohol | Alkane | Alkene | Amine | Arene | Enamine | Enol | Haloalkane,Alcohol | Alkane | Arene | Ester | Ether | Haloalkane | Phenol,Alkene | Amine | Enamine | Enol,Ester | Ether | Phenol,Alkene=0.0620 | Amine=0.1217 | Enamine=0.0000 | Enol=0.0001,Ester=0.7813 | Ether=0.8216 | Phenol=0.9912
