sample_index,num_false_negatives,num_false_positives,error_count,true_labels,predicted_labels,false_negative_labels,false_positive_labels,false_negative_probs,false_positive_probs
229653,4,3,7,Alcohol | Alkane | Amide | Arene | Haloalkane | Phenol,Alkane | Arene | Ester | Ether | Sulfide,Alcohol | Amide | Haloalkane | Phenol,Ester | Ether | Sulfide,Alcohol=0.0029 | Amide=0.2615 | Haloalkane=0.1801 | Phenol=0.0041,Ester=0.9776 | Ether=0.9407 | Sulfide=0.9999
695427,4,3,7,Alkane | Arene | Ester | Ether | Haloalkane | Sulfide,Aldehyde | Alkane | Alkene | Haloalkane | Nitrile,Arene | Ester | Ether | Sulfide,Aldehyde | Alkene | Nitrile,Arene=0.1636 | Ester=0.0020 | Ether=0.0553 | Sulfide=0.0000,Aldehyde=0.9795 | Alkene=0.9381 | Nitrile=0.9460
783598,2,5,7,Alkane | Amine | Arene | Ketone | Sulfide,Alkane | Amide | Amine | Arene | Carbamate | Ether | Haloalkane | Imide,Ketone | Sulfide,Amide | Carbamate | Ether | Haloalkane | Imide,Ketone=0.0000 | Sulfide=0.0044,Amide=0.7064 | Carbamate=0.9822 | Ether=0.9985 | Haloalkane=0.6311 | Imide=0.9909
611385,4,3,7,Alkane | Alkene | Carbamate | Ether | Sulfide | Thiol,Alkane | Arene | Ester | Ether | Haloalkane,Alkene | Carbamate | Sulfide | Thiol,Arene | Ester | Haloalkane,Alkene=0.0000 | Carbamate=0.0194 | Sulfide=0.0000 | Thiol=0.0000,Arene=0.3984 | Ester=0.8886 | Haloalkane=0.9828
205857,5,2,7,Alcohol | Alkane | Alkene | Amine | Carboxylic acid | Enamine | Enol | Haloalkane,Alcohol | Arene | Carboxylic acid | Haloalkane | Phenol,Alkane | Alkene | Amine | Enamine | Enol,Arene | Phenol,Alkane=0.0380 | Alkene=0.3614 | Amine=0.0192 | Enamine=0.0001 | Enol=0.0000,Arene=0.7491 | Phenol=0.9917
716166,4,3,7,Alcohol | Alkane | Alkene | Amide | Ether | Haloalkane | Sulfide,Alcohol | Alkane | Arene | Ether | Ketone | Phenol,Alkene | Amide | Haloalkane | Sulfide,Arene | Ketone | Phenol,Alkene=0.0000 | Amide=0.0001 | Haloalkane=0.0927 | Sulfide=0.0025,Arene=0.8647 | Ketone=0.9994 | Phenol=0.9879
31813,5,2,7,Alcohol | Alkane | Alkene | Arene | Enol | Ester | Ether | Phenol,Alcohol | Alkane | Ether | Haloalkane | Sulfide,Alkene | Arene | Enol | Ester | Phenol,Haloalkane | Sulfide,Alkene=0.1569 | Arene=0.0859 | Enol=0.2561 | Ester=0.0061 | Phenol=0.0161,Haloalkane=0.4671 | Sulfide=0.9000
389929,4,3,7,Alkane | Amide | Amine | Ether | Hydrazine | Sulfonamide,Alkane | Arene | Ether | Haloalkane | Ketone,Amide | Amine | Hydrazine | Sulfonamide,Arene | Haloalkane | Ketone,Amide=0.0000 | Amine=0.0182 | Hydrazine=0.0000 | Sulfonamide=0.0592,Arene=0.4573 | Haloalkane=0.8991 | Ketone=0.6630
145452,4,3,7,Alkane | Alkene | Amide | Imide | Ketone | Nitrile,Alkane | Amine | Ester | Ether | Nitrile,Alkene | Amide | Imide | Ketone,Amine | Ester | Ether,Alkene=0.0048 | Amide=0.0007 | Imide=0.0586 | Ketone=0.0000,Amine=0.9321 | Ester=0.8289 | Ether=0.7553
38302,4,3,7,Alkane | Alkene | Amine | Arene | Enamine | Ketone,Alkane | Arene | Ester | Ether | Haloalkane,Alkene | Amine | Enamine | Ketone,Ester | Ether | Haloalkane,Alkene=0.0026 | Amine=0.1527 | Enamine=0.0003 | Ketone=0.0000,Ester=0.9706 | Ether=0.8874 | Haloalkane=0.8262
735522,2,5,7,Alkane | Amine | Arene | Carbamate | Ether | Hydrazine,Alkane | Amide | Arene | Carbamate | Ester | Ether | Haloalkane | Imide | Sulfoxide,Amine | Hydrazine,Amide | Ester | Haloalkane | Imide | Sulfoxide,Amine=0.0492 | Hydrazine=0.2042,Amide=0.9981 | Ester=0.9835 | Haloalkane=0.9276 | Imide=0.9825 | Sulfoxide=0.7360
518638,5,2,7,Alkane | Alkene | Amine | Arene | Enamine | Haloalkane | Ketone | Sulfide,Alkane | Arene | Ether | Haloalkane | Nitrile,Alkene | Amine | Enamine | Ketone | Sulfide,Ether | Nitrile,Alkene=0.1888 | Amine=0.1198 | Enamine=0.2426 | Ketone=0.0005 | Sulfide=0.0618,Ether=0.4514 | Nitrile=0.6972
390241,4,3,7,Alcohol | Alkane | Alkene | Enol | Ketone | Sulfoxide,Alcohol | Alkane | Arene | Ether | Haloalkane,Alkene | Enol | Ketone | Sulfoxide,Arene | Ether | Haloalkane,Alkene=0.0000 | Enol=0.0001 | Ketone=0.0118 | Sulfoxide=0.0937,Arene=0.9984 | Ether=0.3623 | Haloalkane=0.9388
742284,6,1,7,Alkane | Alkene | Amine | Arene | Enamine | Ester | Ether | Haloalkane | Ketone,Alkane | Amide | Arene | Haloalkane,Alkene | Amine | Enamine | Ester | Ether | Ketone,Amide,Alkene=0.0000 | Amine=0.0211 | Enamine=0.0000 | Ester=0.0002 | Ether=0.2314 | Ketone=0.0009,Amide=0.7861
553772,2,5,7,Alcohol | Alkane | Amine | Carboxylic acid | Haloalkane,Alcohol | Alkane | Amine | Arene | Ester | Ether | Phenol | Sulfide,Carboxylic acid | Haloalkane,Arene | Ester | Ether | Phenol | Sulfide,Carboxylic acid=0.0000 | Haloalkane=0.0297,Arene=0.2887 | Ester=1.0000 | Ether=0.9998 | Phenol=0.9855 | Sulfide=0.9982
737425,6,1,7,Alkane | Alkene | Amine | Carbamate | Enamine | Ether | Haloalkane | Hydrazine,Alkane | Ester | Ether,Alkene | Amine | Carbamate | Enamine | Haloalkane | Hydrazine,Ester,Alkene=0.0000 | Amine=0.0025 | Carbamate=0.0000 | Enamine=0.0000 | Haloalkane=0.1562 | Hydrazine=0.0000,Ester=0.9995
678365,5,2,7,Alcohol | Alkane | Alkene | Amide | Amine | Arene | Enol | Ester | Ether | Haloalkane,Alcohol | Alkane | Amide | Arene | Haloalkane | Ketone | Phenol,Alkene | Amine | Enol | Ester | Ether,Ketone | Phenol,Alkene=0.0000 | Amine=0.1014 | Enol=0.0002 | Ester=0.0006 | Ether=0.1520,Ketone=0.6658 | Phenol=0.9997
610370,4,3,7,Acid anhydride | Alkene | Arene | Ester | Ether,Alkane | Amide | Arene | Haloalkane,Acid anhydride | Alkene | Ester | Ether,Alkane | Amide | Haloalkane,Acid anhydride=0.0000 | Alkene=0.0000 | Ester=0.0011 | Ether=0.0614,Alkane=0.1467 | Amide=0.9963 | Haloalkane=0.9880
327843,2,5,7,Amide | Amine | Hydrazine,Alkane | Amine | Arene | Haloalkane | Sulfide | Sulfonamide,Amide | Hydrazine,Alkane | Arene | Haloalkane | Sulfide | Sulfonamide,Amide=0.0148 | Hydrazine=0.0058,Alkane=0.1190 | Arene=0.4524 | Haloalkane=0.8952 | Sulfide=0.9331 | Sulfonamide=0.9562
293411,4,3,7,Alcohol | Alkane | Arene | Ester | Ether | Haloalkane,Alcohol | Carboxylic acid | Haloalkane | Phenol | Sulfonamide,Alkane | Arene | Ester | Ether,Carboxylic acid | Phenol | Sulfonamide,Alkane=0.0859 | Arene=0.1267 | Ester=0.0023 | Ether=0.1968,Carboxylic acid=0.7372 | Phenol=0.9989 | Sulfonamide=0.8924
626195,5,2,7,Alcohol | Alkane | Alkene | Amine | Arene | Enol | Ester | Ether | Sulfonamide,Alcohol | Alkane | Arene | Ether | Ketone | Phenol,Alkene | Amine | Enol | Ester | Sulfonamide,Ketone | Phenol,Alkene=0.0000 | Amine=0.0596 | Enol=0.0023 | Ester=0.6551 | Sulfonamide=0.0181,Ketone=0.8303 | Phenol=0.9988
557348,4,3,7,Alkane | Amine | Arene | Ether | Ketone | Sulfide,Alkane | Alkene | Amide | Arene | Haloalkane,Amine | Ether | Ketone | Sulfide,Alkene | Amide | Haloalkane,Amine=0.0264 | Ether=0.1363 | Ketone=0.0000 | Sulfide=0.1270,Alkene=0.9382 | Amide=0.7185 | Haloalkane=0.6818
565018,2,5,7,Alkane | Alkene | Amide | Arene | Imide,Alkane | Alkene | Amine | Arene | Ester | Ether | Haloalkane | Sulfonate,Amide | Imide,Amine | Ester | Ether | Haloalkane | Sulfonate,Amide=0.0004 | Imide=0.0000,Amine=0.6394 | Ester=0.8627 | Ether=0.8860 | Haloalkane=0.4877 | Sulfonate=0.9996
656918,4,3,7,Alkane | Alkene | Arene | Haloalkane | Nitrile | Sulfone,Alkane | Arene | Ester | Ether | Isocyanate,Alkene | Haloalkane | Nitrile | Sulfone,Ester | Ether | Isocyanate,Alkene=0.0000 | Haloalkane=0.3318 | Nitrile=0.0030 | Sulfone=0.0005,Ester=0.8664 | Ether=0.7204 | Isocyanate=0.9999
498301,3,4,7,Alkene | Amine | Enamine | Haloalkane,Alkane | Alkene | Arene | Ester | Ether,Amine | Enamine | Haloalkane,Alkane | Arene | Ester | Ether,Amine=0.0028 | Enamine=0.0000 | Haloalkane=0.0812,Alkane=0.8933 | Arene=0.2931 | Ester=0.8049 | Ether=0.9764
632443,6,1,7,Alkane | Alkene | Amide | Amine | Arene | Enamine | Ester | Ether | Ketone | Sulfide,Alkane | Alkene | Amide | Arene | Haloalkane,Amine | Enamine | Ester | Ether | Ketone | Sulfide,Haloalkane,Amine=0.0071 | Enamine=0.0020 | Ester=0.0000 | Ether=0.1225 | Ketone=0.1296 | Sulfide=0.1373,Haloalkane=0.6060
85340,4,3,7,Alcohol | Alkane | Alkene | Enol | Sulfide | Sulfone,Alcohol | Alkane | Arene | Haloalkane | Ketone,Alkene | Enol | Sulfide | Sulfone,Arene | Haloalkane | Ketone,Alkene=0.0001 | Enol=0.0001 | Sulfide=0.0033 | Sulfone=0.6462,Arene=0.6466 | Haloalkane=0.9969 | Ketone=0.8079
643219,5,2,7,Alcohol | Alkane | Alkene | Amide | Arene | Enol | Ether | Haloalkane | Imide,Alcohol | Aldehyde | Alkane | Arene | Ether | Phenol,Alkene | Amide | Enol | Haloalkane | Imide,Aldehyde | Phenol,Alkene=0.0002 | Amide=0.0000 | Enol=0.0000 | Haloalkane=0.3485 | Imide=0.0000,Aldehyde=0.9835 | Phenol=0.9284
649879,3,4,7,Alkane | Alkene | Amine | Phosphine,Alcohol | Amine | Arene | Haloalkane | Sulfide,Alkane | Alkene | Phosphine,Alcohol | Arene | Haloalkane | Sulfide,Alkane=0.0879 | Alkene=0.6635 | Phosphine=0.0000,Alcohol=0.9967 | Arene=0.8449 | Haloalkane=0.7096 | Sulfide=1.0000
644865,5,2,7,Alcohol | Alkane | Alkene | Amine | Arene | Carboxylic acid | Ether | Haloalkane | Sulfonamide,Alcohol | Alkane | Amine | Arene | Sulfide | Sulfone,Alkene | Carboxylic acid | Ether | Haloalkane | Sulfonamide,Sulfide | Sulfone,Alkene=0.0007 | Carboxylic acid=0.0006 | Ether=0.1695 | Haloalkane=0.3157 | Sulfonamide=0.1502,Sulfide=0.9830 | Sulfone=0.9997
416851,4,3,7,Alkane | Alkene | Amine | Enamine | Ether,Alkane | Amide | Arene | Haloalkane,Alkene | Amine | Enamine | Ether,Amide | Arene | Haloalkane,Alkene=0.0000 | Amine=0.0477 | Enamine=0.0000 | Ether=0.0821,Amide=0.9978 | Arene=0.9993 | Haloalkane=0.4708
738951,6,1,7,Alkane | Alkene | Amine | Arene | Enamine | Ester | Ether | Ketone,Alkane | Amide | Arene,Alkene | Amine | Enamine | Ester | Ether | Ketone,Amide,Alkene=0.0000 | Amine=0.1162 | Enamine=0.0000 | Ester=0.0000 | Ether=0.0581 | Ketone=0.0000,Amide=0.8579
102528,4,3,7,Alkane | Arene | Ester | Ether | Haloalkane | Sulfide,Alkane | Alkene | Arene | Enamine | Ketone,Ester | Ether | Haloalkane | Sulfide,Alkene | Enamine | Ketone,Ester=0.0002 | Ether=0.1329 | Haloalkane=0.0392 | Sulfide=0.0000,Alkene=1.0000 | Enamine=0.9548 | Ketone=0.6725
274097,4,3,7,Alkane | Alkene | Arene | Ester | Ether | Sulfide,Alkane | Amide | Arene | Haloalkane | Nitrile,Alkene | Ester | Ether | Sulfide,Amide | Haloalkane | Nitrile,Alkene=0.0003 | Ester=0.0012 | Ether=0.1778 | Sulfide=0.0112,Amide=0.8267 | Haloalkane=0.4378 | Nitrile=0.9996
205690,1,6,7,Alkane | Arene | Ketone | Sulfone,Alkane | Amide | Arene | Carbamate | Ether | Haloalkane | Hydrazone | Sulfonate | Sulfone,Ketone,Amide | Carbamate | Ether | Haloalkane | Hydrazone | Sulfonate,Ketone=0.0000,Amide=0.9696 | Carbamate=0.9854 | Ether=0.7761 | Haloalkane=0.6079 | Hydrazone=0.5907 | Sulfonate=0.8067
780001,5,2,7,Alkane | Alkene | Amide | Amine | Arene | Enamine | Ester | Ether,Alkane | Amine | Arene | Imine | Ketone,Alkene | Amide | Enamine | Ester | Ether,Imine | Ketone,Alkene=0.0000 | Amide=0.0001 | Enamine=0.0000 | Ester=0.0431 | Ether=0.2855,Imine=0.8970 | Ketone=0.8714
316154,4,3,7,Alcohol | Alkane | Alkene | Arene | Ester | Ether | Ketone,Alcohol | Alkane | Alkene | Amide | Sulfide | Sulfone,Arene | Ester | Ether | Ketone,Amide | Sulfide | Sulfone,Arene=0.1338 | Ester=0.0654 | Ether=0.1490 | Ketone=0.3335,Amide=0.9089 | Sulfide=0.9781 | Sulfone=0.8560
566445,5,2,7,Alkane | Alkene | Amine | Arene | Haloalkane | Sulfide | Sulfone,Alkane | Amide | Ether | Sulfide,Alkene | Amine | Arene | Haloalkane | Sulfone,Amide | Ether,Alkene=0.1885 | Amine=0.1406 | Arene=0.0186 | Haloalkane=0.1599 | Sulfone=0.0213,Amide=0.8790 | Ether=0.6278
452596,3,4,7,Alcohol | Alkane | Alkene | Arene | Carboxylic acid | Ester | Ether,Alcohol | Alkane | Amide | Amine | Arene | Carboxylic acid | Ketone | Sulfide,Alkene | Ester | Ether,Amide | Amine | Ketone | Sulfide,Alkene=0.1045 | Ester=0.0000 | Ether=0.0680,Amide=0.9582 | Amine=0.8145 | Ketone=0.9138 | Sulfide=0.9992
202606,0,7,7,,Alcohol | Alkane | Amide | Arene | Ether | Haloalkane | Imide,,Alcohol | Alkane | Amide | Arene | Ether | Haloalkane | Imide,,Alcohol=0.9989 | Alkane=0.1313 | Amide=0.8920 | Arene=0.9978 | Ether=0.4361 | Haloalkane=0.4238 | Imide=0.8822
