searched_formula,selected,test_index,case_type,true_labels,predicted_binary_labels,source_file,source_row,global_index,formula,smiles
C9H10N2O,0,24448,mixed error,Alkane; Amide; Amine; Arene,Alkane; Amine; Arene; Thioamide,aligned_chunk_53.parquet,627,630003,C9H10N2O,Nc1ccc2c(c1)CCC(=O)N2
C9H10N2O,0,30344,mixed error,Alcohol; Alkane,Alcohol; Sulfide,aligned_chunk_63.parquet,891,665797,C9H10N2O,CC(O)c1ccc2cnccn12
C9H10N2O,0,30900,mixed error,Alkene; Amine; Arene,Alkane; Amine; Arene,aligned_chunk_197.parquet,236,354173,C9H10N2O,N=C(/C=C/c1ccccc1)NO
C9H10N2O,0,30940,mixed error,Alkane; Ether,Alkane; Haloalkane,aligned_chunk_186.parquet,1130,316183,C9H10N2O,COc1cnc2[nH]c(C)cc2c1
C9H10N2O,0,31406,mixed error,Alkane; Amine; Arene; Nitrile,Alkane; Arene; Ether; Nitrile,aligned_chunk_54.parquet,450,633040,C9H10N2O,CON(C)c1ccc(C#N)cc1
C9H10N2O,0,33922,mixed error,Alkane; Amine; Arene; Ether; Nitrile,Alkane; Amine; Arene; Haloalkane; Nitrile,aligned_chunk_25.parquet,3205,531951,C9H10N2O,COc1ccc(C(N)C#N)cc1
C9H10N2O,0,35505,false positive,Alcohol; Alkane,Alcohol; Alkane; Alkene; Sulfide,aligned_chunk_222.parquet,481,448278,C9H10N2O,OCCc1cccc2nccn12
C9H10N2O,0,36023,correct,Alkane; Amide; Amine; Arene,Alkane; Amide; Amine; Arene,aligned_chunk_21.parquet,303,402667,C9H10N2O,NC1Cc2ccccc2NC1=O
C9H10N2O,0,41086,false positive,Alcohol; Alkane; Arene,Alcohol; Alkane; Arene; Ester; Ether; Haloalkane,aligned_chunk_10.parquet,1998,8506,C9H10N2O,OCCn1cnc2ccccc21
C9H10N2O,0,42149,mixed error,Alkane; Amide; Amine; Arene,Amide; Amine; Hydrazone,aligned_chunk_96.parquet,392,781789,C9H10N2O,NC(=O)c1cccc2c1NCC2
C9H10N2O,1,44833,mixed error,Aldehyde; Alkane,Alkane; Carbamate; Ether; Sulfide,aligned_chunk_77.parquet,176,713381,C9H10N2O,O=Cc1cnc2c(n1)CCCC2
C9H10N2O,0,45110,false positive,Alcohol; Alkane; Nitrile,Alcohol; Alkane; Arene; Nitrile,aligned_chunk_7.parquet,265,687710,C9H10N2O,N#Cc1cnccc1CCCO
C9H10N2O,0,45308,false positive,Alcohol; Alkane; Arene,Alcohol; Alkane; Arene; Ketone,aligned_chunk_244.parquet,97,525642,C9H10N2O,Cn1nc(CO)c2ccccc21
C9H10N2O,0,49432,correct,Alkane; Amine; Nitrile,Alkane; Amine; Nitrile,aligned_chunk_13.parquet,246,113929,C9H10N2O,N#Cc1c(N)oc2c1CCCC2
C9H10N2O,0,51290,correct,Alkane; Nitrile,Alkane; Nitrile,aligned_chunk_167.parquet,2115,248919,C9H10N2O,CCc1cc(C#N)c(=O)[nH]c1C
C9H10N2O,0,54240,correct,Alkane; Arene,Alkane; Arene,aligned_chunk_130.parquet,1883,118809,C9H10N2O,CN1Cc2ccccc2NC1=O
C9H10N2O,0,58895,false positive,Alkane; Ether,Alkane; Amine; Ester; Ether,aligned_chunk_7.parquet,1510,688955,C9H10N2O,COc1nccc2cc(C)[nH]c12
C9H10N2O,0,71156,false positive,Alkane; Amine; Arene; Hydrazone; Ketone,Alkane; Amine; Arene; Haloalkane; Hydrazone; Ketone,aligned_chunk_88.parquet,667,752802,C9H10N2O,CC(=O)C=NNc1ccccc1
C9H10N2O,0,72492,mixed error,Alkane; Arene; Ether,Alkane; Arene; Haloalkane,aligned_chunk_149.parquet,1262,183026,C9H10N2O,COc1ccc2c(C)n[nH]c2c1
C9H10N2O,0,77819,mixed error,Alkane; Amide; Arene; Hydrazone,Amide; Arene; Hydrazine,aligned_chunk_144.parquet,2381,167788,C9H10N2O,CC(=O)NN=Cc1ccccc1
C8H15NO4,0,48264,correct,Alkane; Amine; Ester; Ether,Alkane; Amine; Ester; Ether,aligned_chunk_25.parquet,2272,531018,C8H15NO4,CCOC(=O)CNCC(=O)OCC
C8H15NO4,1,60717,false negative,Alcohol; Alkane; Amine; Carboxylic acid; Ether,Alcohol; Alkane; Amine; Carboxylic acid,aligned_chunk_94.parquet,331,775248,C8H15NO4,NCC[C@@H]1C[C@H](CC(=O)O)OCO1
C8H15NO4,0,68704,correct,Alcohol; Alkane; Amide; Carboxylic acid,Alcohol; Alkane; Amide; Carboxylic acid,aligned_chunk_104.parquet,701,23412,C8H15NO4,O=C(O)CCCCCCC(=O)NO
C8H15NO4,0,76066,correct,Alcohol; Alkane; Amide; Carboxylic acid,Alcohol; Alkane; Amide; Carboxylic acid,aligned_chunk_216.parquet,2143,427294,C8H15NO4,O=C(O)CCCCCCC(=O)NO
C13H11BrN4O2,1,41169,false negative,Alcohol; Alkane; Amine; Arene; Ether; Haloalkane; Phenol,Alcohol; Alkane; Amine; Arene; Ether,aligned_chunk_66.parquet,2887,677428,C13H11BrN4O2,COc1cc(-c2cc(Br)c3c(N)ncnn23)ccc1O
C10H10N2O,0,9500,false negative,Alkane; Arene,Arene,aligned_chunk_171.parquet,2732,265886,C10H10N2O,CON=Cc1cccc2[nH]ccc12
C10H10N2O,0,15257,false positive,Alkane; Nitrile,Alkane; Alkene; Amine; Enamine; Haloalkane; Ketone; Nitrile,aligned_chunk_166.parquet,1937,245497,C10H10N2O,N#Cc1cc2c([n+]([O-])c1)CCCC2
C10H10N2O,1,16456,mixed error,Alkane; Arene; Ether,Amine; Arene,aligned_chunk_229.parquet,1103,471587,C10H10N2O,COc1ccc(-c2ncc[nH]2)cc1
C10H10N2O,0,23701,correct,Aldehyde; Alkane; Arene,Aldehyde; Alkane; Arene,aligned_chunk_4.parquet,12,580838,C10H10N2O,O=CCCn1cnc2ccccc21
C10H10N2O,0,24408,false negative,Alkane; Amide; Arene,Amide; Arene,aligned_chunk_75.parquet,1655,708450,C10H10N2O,Cn1cc(C(N)=O)c2ccccc21
C10H10N2O,0,35753,mixed error,Alkane; Alkene; Arene; Enamine,Alkene; Amide; Arene,aligned_chunk_207.parquet,2537,395248,C10H10N2O,O=C1NCC=CN1c1ccccc1
C10H10N2O,0,39208,correct,Alkane; Amine; Arene,Alkane; Amine; Arene,aligned_chunk_218.parquet,1993,433611,C10H10N2O,Cc1cccc(-c2cc(N)on2)c1
C10H10N2O,0,43010,correct,Alkane; Arene; Ether,Alkane; Arene; Ether,aligned_chunk_131.parquet,149,120313,C10H10N2O,COc1ccc(-c2cn[nH]c2)cc1
C10H10N2O,0,45674,false negative,Alkane; Amine; Arene; Ether,Alkane; Amine,aligned_chunk_243.parquet,3046,525355,C10H10N2O,COc1ccc(N)c2ncccc12
C10H10N2O,0,47671,false positive,Alkane; Amine; Arene; Ketone,Alkane; Alkene; Amine; Arene; Ketone,aligned_chunk_223.parquet,1367,452405,C10H10N2O,CC(=O)c1c[nH]c2ccc(N)cc12
C10H10N2O,0,56410,false negative,Alkane; Arene; Ether,Arene; Ether,aligned_chunk_33.parquet,2726,560850,C10H10N2O,COc1cccc(-n2cccn2)c1
C10H10N2O,0,65416,false negative,Alkane; Amine; Arene,Alkane; Amine,aligned_chunk_146.parquet,2644,174587,C10H10N2O,Cc1c[nH]c(=O)c2cccc(N)c12
C10H10N2O,0,66435,mixed error,Alcohol; Alkane; Arene; Phenol,Alcohol; Arene; Sulfide,aligned_chunk_57.parquet,1280,643529,C10H10N2O,Cc1ccccc1-n1ccc(O)n1
C10H10N2O,0,66890,mixed error,Alcohol; Alkane; Phenol,Alcohol; Haloalkane,aligned_chunk_166.parquet,758,244318,C10H10N2O,CCc1nc2ncccc2cc1O
C10H10N2O,0,72854,correct,Alkane; Amine; Arene,Alkane; Amine; Arene,aligned_chunk_105.parquet,2014,27969,C10H10N2O,NOCc1ccnc2ccccc12
C10H10N2O,0,73904,mixed error,Alcohol; Alkane; Amine; Arene,Alcohol; Amine; Arene; Haloalkane,aligned_chunk_4.parquet,867,581693,C10H10N2O,Nc1nccc2ccc(CO)cc12
C10H10N2O,0,77110,correct,Alcohol; Alkane; Arene,Alcohol; Alkane; Arene,aligned_chunk_93.parquet,1875,773522,C10H10N2O,OCc1cnc(-c2ccccc2)[nH]1
C16H18O3,0,12816,correct,Alkane; Arene; Ester; Ether,Alkane; Arene; Ester; Ether,aligned_chunk_232.parquet,2538,486030,C16H18O3,CC(=O)OC(CCCc1ccccc1)c1ccoc1
C16H18O3,0,16388,false positive,Alkane; Arene; Ether,Alkane; Arene; Ether; Haloalkane,aligned_chunk_20.parquet,2682,369489,C16H18O3,COCc1ccc(Oc2ccc(COC)cc2)cc1
C16H18O3,0,19584,false negative,Alcohol; Alkane; Arene; Ether,Alcohol; Arene,aligned_chunk_50.parquet,2491,622136,C16H18O3,COCCOc1ccc(C(O)c2ccccc2)cc1
C16H18O3,1,22656,mixed error,Alkane; Alkene; Arene; Ester; Ether; Ketone,Alkane; Alkene; Amide; Arene; Haloalkane; Ketone,aligned_chunk_47.parquet,1800,608449,C16H18O3,C=Cc1ccc(C(=O)C(=O)OCC/C=C\CC)cc1
C16H18O3,0,33434,mixed error,Alcohol; Alkane; Arene; Ether,Alcohol; Arene; Haloalkane,aligned_chunk_5.parquet,1873,618226,C16H18O3,COc1cccc(C(C)(O)c2cccc(OC)c2)c1
C16H18O3,0,47034,false negative,Alcohol; Alkane; Alkene; Arene; Carboxylic acid; Ketone,Alcohol; Alkane; Alkene; Arene; Carboxylic acid,aligned_chunk_102.parquet,2172,18355,C16H18O3,CC(C(=O)O)c1ccc(C=C2CCCCC2=O)cc1
C16H18O3,0,48104,correct,Alkane; Arene; Ester; Ether,Alkane; Arene; Ester; Ether,aligned_chunk_233.parquet,1341,488105,C16H18O3,CCOC(=O)COCCc1ccc2ccccc2c1
C16H18O3,0,51522,false positive,Alcohol; Alkane; Arene; Ether,Alcohol; Alkane; Amide; Arene; Ether; Haloalkane; Sulfide,aligned_chunk_19.parquet,1238,329265,C16H18O3,OCC(CO)c1ccc(OCc2ccccc2)cc1
C16H18O3,0,69916,mixed error,Alcohol; Alkane; Arene; Ester; Ether; Phenol,Alcohol; Alkane; Arene; Ether; Haloalkane; Phenol,aligned_chunk_98.parquet,467,788349,C16H18O3,CCCc1c(O)ccc2ccc(C(=O)OCC)cc12
C16H18O3,0,70354,correct,Alkane; Alkene; Arene; Ester; Ether,Alkane; Alkene; Arene; Ester; Ether,aligned_chunk_167.parquet,266,247070,C16H18O3,COC(=O)/C=C/C=C(/c1ccc(OC)cc1)C1CC1
C15H16N2O3,0,42430,false negative,Alcohol; Alkane; Amide; Arene; Carboxylic acid,Alcohol; Alkane; Arene; Carboxylic acid,aligned_chunk_127.parquet,603,104548,C15H16N2O3,O=C(O)C1CCN(C(=O)c2cc3ccccc3[nH]2)CC1
C15H16N2O3,0,47337,false positive,Alkane; Arene; Ester; Ether,Alkane; Arene; Ester; Ether; Haloalkane; Sulfide,aligned_chunk_206.parquet,1056,390531,C15H16N2O3,COC(=O)c1cn(-c2ccc(OC)cc2)nc1C1CC1
C15H16N2O3,0,52452,correct,Alkane; Amide; Amine; Arene; Ether,Alkane; Amide; Amine; Arene; Ether,aligned_chunk_87.parquet,986,749862,C15H16N2O3,CNC(=O)c1cc(Oc2ccc(N)cc2)ccc1OC
C15H16N2O3,0,56824,false positive,Alkane; Amine; Arene; Ester; Ether,Alkane; Amine; Arene; Ester; Ether; Haloalkane,aligned_chunk_231.parquet,1272,481539,C15H16N2O3,COC(=O)c1ccc(NCc2ccc(OC)cc2)nc1
C15H16N2O3,0,62963,false positive,Alcohol; Alkane; Amine; Arene,Alcohol; Alkane; Amine; Arene; Haloalkane,aligned_chunk_224.parquet,1083,455352,C15H16N2O3,Cc1ccc(Nc2ccccc2CCO)c([N+](=O)[O-])c1
C15H16N2O3,0,67026,correct,Alkane; Amide; Arene; Ether; Imide,Alkane; Amide; Arene; Ether; Imide,aligned_chunk_47.parquet,3208,609857,C15H16N2O3,COC1=NCCCC1(C)N1C(=O)c2ccccc2C1=O
C15H16N2O3,0,69252,correct,Alcohol; Alkane; Amide; Arene; Ether,Alcohol; Alkane; Amide; Arene; Ether,aligned_chunk_23.parquet,733,474452,C15H16N2O3,O=C(Nc1cc2ccc(OCCO)cc2cn1)C1CC1
C15H16N2O3,1,70086,mixed error,Alcohol; Alkane; Amine; Arene; Ether; Phenol,Alcohol; Alkane; Amine; Arene; Nitrile; Phenol,aligned_chunk_25.parquet,3150,531896,C15H16N2O3,Cc1nc(Nc2ccc3c(c2)OCO3)c(C)c(C)c1O
C15H16N2O3,0,79128,false positive,Alcohol; Alkane; Arene; Carboxylic acid; Ether,Alcohol; Alkane; Amide; Arene; Carboxylic acid; Ether,aligned_chunk_121.parquet,1023,85408,C15H16N2O3,CC1(C)CC(n2cncc2C(=O)O)c2ccccc2O1
C15H16N2O3,0,79187,correct,Alkane; Alkene; Amide; Arene; Ester; Ether,Alkane; Alkene; Amide; Arene; Ester; Ether,aligned_chunk_184.parquet,40,308592,C15H16N2O3,C=CC(=O)N[C@@H](Cc1c[nH]c2ccccc12)C(=O)OC
C11H9N3O,0,8574,false negative,Alcohol; Alkane; Arene,Alcohol; Arene,aligned_chunk_144.parquet,3072,168479,C11H9N3O,OCc1cn2c(cnc3ccccc32)n1
C11H9N3O,0,9336,false negative,Alcohol; Alkane; Arene; Nitrile,Alcohol; Arene,aligned_chunk_148.parquet,357,178890,C11H9N3O,N#Cc1cc(CO)nn1-c1ccccc1
C11H9N3O,1,13116,mixed error,Alkane; Amide; Arene,Arene; Phenol; Sulfide,aligned_chunk_140.parquet,2246,154729,C11H9N3O,O=C1Nc2ccccc2Cn2ccnc21
C11H9N3O,0,13686,mixed error,Alkane; Arene,Arene; Haloalkane,aligned_chunk_58.parquet,708,646160,C11H9N3O,Cc1cnn2c(=O)[nH]c3ccccc3c12
C11H9N3O,0,17876,false negative,Alkane; Amide; Arene; Nitrile,Amide; Arene; Nitrile,aligned_chunk_63.parquet,900,665806,C11H9N3O,N#Cc1cccc2c1ccn2CC(N)=O
C11H9N3O,0,41761,mixed error,Alkane; Amide; Arene,Arene; Haloalkane,aligned_chunk_106.parquet,918,30131,C11H9N3O,O=C1Cc2ccccc2N1c1ncc[nH]1
C11H9N3O,0,42154,mixed error,Alkane; Arene; Ether; Nitrile,Arene; Haloalkane; Nitrile,aligned_chunk_207.parquet,1064,393775,C11H9N3O,COc1cccc(-n2cccn2)c1C#N
C7H9N3O,0,13438,correct,Alkane; Amide; Amine; Hydrazine,Alkane; Amide; Amine; Hydrazine,aligned_chunk_238.parquet,43,502928,C7H9N3O,Cc1ccc(C(=O)NN)nc1
C7H9N3O,1,15340,mixed error,Alkane; Alkene; Amine; Ether,Alcohol; Alkane; Amine; Ester; Ether,aligned_chunk_185.parquet,423,312243,C7H9N3O,C=CCOc1cncc(N)n1
C7H9N3O,0,28943,correct,Amide; Amine; Arene,Amide; Amine; Arene,aligned_chunk_197.parquet,397,354334,C7H9N3O,NC(=O)c1ccc(N)c(N)c1
C7H9N3O,0,29128,mixed error,Alkane; Amide; Amine; Hydrazine,Amide; Amine; Haloalkane; Hydrazine,aligned_chunk_118.parquet,3162,74547,C7H9N3O,Cc1ccc(C(=O)NN)cn1
C7H9N3O,0,32572,correct,Amide; Amine; Arene; Hydrazine,Amide; Amine; Arene; Hydrazine,aligned_chunk_174.parquet,1813,274771,C7H9N3O,NNc1ccc(C(N)=O)cc1
C7H9N3O,0,43058,correct,Amide; Amine; Arene,Amide; Amine; Arene,aligned_chunk_179.parquet,1070,290209,C7H9N3O,NC(=O)c1c(N)cccc1N
C7H9N3O,0,46462,mixed error,Alkane; Amide; Amine; Hydrazine,Amide; Amine; Arene; Hydrazine,aligned_chunk_102.parquet,3076,19259,C7H9N3O,CNNC(=O)c1ccncc1
C7H9N3O,0,47161,mixed error,Amine; Arene; Hydrazine,Amide; Arene; Hydrazine,aligned_chunk_73.parquet,3005,703359,C7H9N3O,NC(=O)NNc1ccccc1
C7H9N3O,0,47769,false positive,Alkane; Ketone,Alkane; Haloalkane; Ketone; Sulfide,aligned_chunk_90.parquet,706,762558,C7H9N3O,O=C(c1c[nH]nn1)C1CCC1
C7H9N3O,0,58310,mixed error,Alkane; Amine,Amine; Haloalkane,aligned_chunk_239.parquet,3095,509181,C7H9N3O,N/C(Cc1ccncc1)=N\O
C7H9N3O,0,75621,false negative,Alkane; Amine; Ether; Nitrile,Alkane; Amine; Nitrile,aligned_chunk_131.parquet,940,121104,C7H9N3O,N#CC(C#N)N1CCOCC1
C8H14N2O2,0,22037,false negative,Alkane; Amide; Amine; Ether,Alkane; Amide; Amine,aligned_chunk_152.parquet,546,195233,C8H14N2O2,N[C@H]1CCN([C@H]2CCOC2)C1=O
C8H14N2O2,0,45942,false positive,Alkane; Alkene,Alkane; Alkene; Ketone,aligned_chunk_113.parquet,3012,58214,C8H14N2O2,C=C(C)CC(=NOC)C(C)=NO
C8H14N2O2,0,49242,false negative,Alkane; Amide; Amine; Ether,Alkane; Amide; Amine,aligned_chunk_160.parquet,2979,226903,C8H14N2O2,O=C1COC2(CCNCC2)CN1
C8H14N2O2,0,52255,false negative,Alkane; Amide; Amine; Ether,Alkane; Amide; Amine,aligned_chunk_62.parquet,2915,664597,C8H14N2O2,O=C(NC1CC1)C1CNCCO1
C8H14N2O2,0,54118,false negative,Alkane; Carbamate; Ether; Hydrazone,Alkane; Carbamate; Ether,aligned_chunk_68.parquet,143,681181,C8H14N2O2,CCOC(=O)NN=CCC1CC1
C8H14N2O2,1,57914,mixed error,Alkane; Amine; Ether; Nitrile,Alkane; Alkene; Amine; Nitrile,aligned_chunk_120.parquet,3134,84302,C8H14N2O2,COCOC1CCN(C#N)CC1
C8H14N2O2,0,66142,correct,Alcohol; Alkane; Amine; Nitrile,Alcohol; Alkane; Amine; Nitrile,aligned_chunk_106.parquet,2767,31980,C8H14N2O2,N#CCCN1C[C@H](O)C[C@@H]1CO
C17H21NO2,0,7785,false negative,Alkane; Amine; Arene; Ether,Alkane; Amine; Arene,aligned_chunk_79.parquet,2180,721905,C17H21NO2,COc1ccc(CC(N)Cc2ccccc2)cc1OC
C17H21NO2,0,11380,correct,Alkane; Arene; Ether; Ketone,Alkane; Arene; Ether; Ketone,aligned_chunk_74.parquet,2108,705701,C17H21NO2,CCOc1ccc(-n2c(C)cc(C(C)=O)c2C)c(C)c1
C17H21NO2,0,14330,correct,Alcohol; Alkane; Amine; Arene; Ether,Alcohol; Alkane; Amine; Arene; Ether,aligned_chunk_71.parquet,2969,696864,C17H21NO2,COc1ccc(N[C@H](c2ccccc2)[C@H](C)CO)cc1
C17H21NO2,0,21015,false negative,Alkane; Arene; Ether,Alkane; Arene,aligned_chunk_30.parquet,241,548578,C17H21NO2,Cc1[nH]c2ccccc2c1C1CCC2(CC1)OCCO2
C17H21NO2,0,23071,false negative,Alcohol; Alkane; Amine; Arene; Ether; Phenol,Alcohol; Amine; Arene; Phenol,aligned_chunk_121.parquet,272,84657,C17H21NO2,CCC(C)(C)c1ccc(Oc2ccc(O)cc2N)cc1
C17H21NO2,1,27061,mixed error,Alkane; Alkene; Arene; Ether,Alkane; Haloalkane,aligned_chunk_179.parquet,3038,292177,C17H21NO2,COc1c(C)cc(C)c2c1C(C=NO)C1=C2CCCC1
C17H21NO2,0,34958,false negative,Aldehyde; Alkane; Alkene; Amine; Arene; Ketone,Alkane; Alkene; Amine; Arene; Ketone,aligned_chunk_166.parquet,2155,245715,C17H21NO2,CC(=C\C(C)C(=O)c1ccc(N(C)C)cc1)/C=C/C=O
C17H21NO2,0,43329,correct,Alkane; Amine; Arene; Ether,Alkane; Amine; Arene; Ether,aligned_chunk_221.parquet,353,444914,C17H21NO2,COc1ccc2c(c1)[C@@]13CCCC4O[C@@]41[C@@H](C2)NCC3
C17H21NO2,0,56545,correct,Aldehyde; Alkane; Arene; Ether,Aldehyde; Alkane; Arene; Ether,aligned_chunk_196.parquet,2221,352957,C17H21NO2,CCCCCCCOc1ccc2cc(C=O)cnc2c1
C17H21NO2,0,61827,correct,Alcohol; Alkane; Amine; Arene; Ether; Phenol,Alcohol; Alkane; Amine; Arene; Ether; Phenol,aligned_chunk_94.parquet,1049,775966,C17H21NO2,CCN(CCCOc1ccc(O)cc1)c1ccccc1
C17H21NO2,0,66694,mixed error,Alkane; Amine; Arene; Ether; Ketone,Alkane; Amine; Arene; Ester; Ether; Haloalkane,aligned_chunk_158.parquet,2834,216961,C17H21NO2,COc1cccc2c1[C@]13CCN[C@H](C2)[C@@H]1CCC(=O)C3
C17H21NO2,0,70693,false positive,Aldehyde; Alkane; Amide; Arene,Aldehyde; Alkane; Amide; Arene; Haloalkane,aligned_chunk_128.parquet,2934,110152,C17H21NO2,O=Cc1ccc2c(c1)CCN(C(=O)C1CCCCC1)C2
C11H16N2O2,0,5307,mixed error,Alkane; Amide,Alkane; Haloalkane,aligned_chunk_137.parquet,3193,142716,C11H16N2O2,Cc1oncc1C(=O)N1CCC(C)CC1
C11H16N2O2,1,7575,mixed error,Aldehyde; Alkane; Amine; Ether,Alkane; Amide,aligned_chunk_41.parquet,2201,589623,C11H16N2O2,Cn1cc(CN2CCOCC2)cc1C=O
C11H16N2O2,0,13036,false negative,Alkane; Amine; Ester; Ether,Alkane; Amine; Ether,aligned_chunk_88.parquet,2791,754926,C11H16N2O2,CCOC(=O)CC(C)c1cc(N)ccn1
C11H16N2O2,0,22803,mixed error,Alkane; Amine; Ester; Ether,Aldehyde; Alkane; Ester; Ether; Haloalkane,aligned_chunk_183.parquet,811,306143,C11H16N2O2,CCN(CC)c1ccc(C(=O)OC)nc1
C11H16N2O2,0,24363,correct,Alkane; Arene,Alkane; Arene,aligned_chunk_86.parquet,3067,748707,C11H16N2O2,CCC(C)N(O)C(=O)Nc1ccccc1
C11H16N2O2,0,26217,correct,Alkane; Carbamate; Ether,Alkane; Carbamate; Ether,aligned_chunk_162.parquet,643,231124,C11H16N2O2,Cc1cccnc1NC(=O)OC(C)(C)C
C11H16N2O2,0,28013,correct,Alkane; Amine; Arene; Carbamate; Ether,Alkane; Amine; Arene; Carbamate; Ether,aligned_chunk_217.parquet,1763,430160,C11H16N2O2,CN(CCN)C(=O)OCc1ccccc1
C11H16N2O2,0,28254,correct,Alcohol; Alkane; Amide; Amine; Arene; Hydrazine,Alcohol; Alkane; Amide; Amine; Arene; Hydrazine,aligned_chunk_64.parquet,2419,670468,C11H16N2O2,NNC(=O)CC(CCO)c1ccccc1
C11H16N2O2,0,31249,correct,Alcohol; Alkane; Phenol,Alcohol; Alkane; Phenol,aligned_chunk_204.parquet,2048,385026,C11H16N2O2,O=c1[nH]nc(CCC2CCCC2)cc1O
C11H16N2O2,0,32117,false negative,Alkane; Amine; Ester; Ether,Alkane; Amine,aligned_chunk_107.parquet,1863,34334,C11H16N2O2,CCOC(=O)C(C)(C)c1ccc(N)nc1
C11H16N2O2,0,34375,false positive,Alkane; Ester; Ether,Alkane; Ester; Ether; Haloalkane,aligned_chunk_75.parquet,2996,709791,C11H16N2O2,CC[C@H]1C(=O)OC[C@@H]1Cc1cncn1C
C11H16N2O2,0,42290,false negative,Alcohol; Alkane; Amine; Carboxylic acid,Alcohol; Alkane; Carboxylic acid,aligned_chunk_190.parquet,123,331412,C11H16N2O2,Cc1cc(C(=O)O)cnc1N(C)C(C)C
C11H16N2O2,0,42339,false positive,Alcohol; Alkane; Amide; Amine; Arene,Alcohol; Alkane; Amide; Amine; Arene; Ether,aligned_chunk_170.parquet,2468,262342,C11H16N2O2,CC(=O)Nc1cccc(N(C)CCO)c1
C11H16N2O2,0,47002,correct,Alcohol; Alkane,Alcohol; Alkane,aligned_chunk_228.parquet,759,468043,C11H16N2O2,CCc1c(C)nc2n(c1=O)CCCC2O
C11H16N2O2,0,47098,correct,Alkane; Carbamate; Ether,Alkane; Carbamate; Ether,aligned_chunk_170.parquet,1496,261370,C11H16N2O2,Cc1ccc(NC(=O)OC(C)(C)C)cn1
C11H16N2O2,0,55990,false negative,Alcohol; Alkane; Amine; Ether,Alcohol; Alkane; Amine,aligned_chunk_80.parquet,521,726681,C11H16N2O2,NCc1cccc(C2(O)CCOCC2)n1
C11H16N2O2,0,56715,mixed error,Alcohol; Alkane; Amine; Ether,Alcohol; Alkane; Amine; Haloalkane,aligned_chunk_108.parquet,1150,36882,C11H16N2O2,OCc1cc(CN2CCOCC2)ccn1
C11H16N2O2,0,61517,mixed error,Alcohol; Alkane; Amine; Phenol,Alcohol; Alkane; Haloalkane; Phenol; Sulfide,aligned_chunk_211.parquet,1275,410122,C11H16N2O2,Cc1c(O)c(=O)ccn1N1CCCCC1
